Lien,Kilomètrage,Couleur,Etat,Boite,Année,Cylindré,Marque,Gamme,Puissance,Carrosserie,Carburant,Prix
https://www.tayara.tn/item/640f372bff75361c11d7fc31/,108,Rouge,Avec kilométrage,Manuelle,2015,3.0L,Fiat,Panda,4,Compacte,Essence,28
,,,,,,,,,,,,
https://www.tayara.tn/item/640f348aff75361c11d7fb67/,140000,Gris,Avec kilométrage,Manuelle,2014,1.2L,Hyundai,I 20,4,Compacte,Essence,32
https://www.tayara.tn/item/640f30daff75361c11d7fa03/,113000,Noir,Avec kilométrage,Manuelle,2016,1.2L,Opel,Corsa,5,Compacte,Essence,27
https://www.tayara.tn/item/640f2f2aff75361c11d7f981/,140000,Camel,Avec kilométrage,Manuelle,2010,1.2L,Citroen,C3,5,Compacte,Essence,24
https://www.tayara.tn/item/640f2e11ff75361c11d7f942/,171000,Bleu,Avec kilométrage,Manuelle,2012,1.2L,Ford,Fiesta,5,Compacte,Essence,15
https://www.tayara.tn/item/640f2d2cff75361c11d7f906/,92000,Rouge,Avec kilométrage,Manuelle,2018,1.4L,Renault,Clio,5,Compacte,Essence,37
https://www.tayara.tn/item/640f297aff75361c11d7f7ce/,269000,Gris,Avec kilométrage,Manuelle,1998,1.2L,Renault,Clio,4,Compacte,Essence,16
,,,,,,,,,,,,
https://www.tayara.tn/item/640f21adff75361c11d7f56c/,72000,Gris,Avec kilométrage,Manuelle,2017,<1.0L,Toyota,Yaris,4,Compacte,Essence,
https://www.tayara.tn/item/640f2026ff75361c11d7f4e9/,77000,Gris,Avec kilométrage,Manuelle,2018,<1.0L,Chery,QQ,4,Compacte,Essence,21
https://www.tayara.tn/item/640f1e79ff75361c11d7f464/,203000,Noir,Avec kilométrage,Manuelle,2000,1.2L,Opel,Corsa,123456789,Compacte,Essence,123
https://www.tayara.tn/item/640f13cbff75361c11d7f116/,15000,Rouge,Avec kilométrage,Manuelle,2021,3.0L,Renault,Clio,5,Compacte,Essence,54
https://www.tayara.tn/item/63f8b58b319d5b121dd0ed16/,35000,Bleu,Avec kilométrage,Manuelle,2019,1.2L,Toyota,Yaris,4,Compacte,Essence,38
https://www.tayara.tn/item/63f8b502319d5b121dd0ece7/,130000,Noir,Avec kilométrage,Manuelle,2013,1.6L,BMW,Serie 1,6,Compacte,Essence,48
https://www.tayara.tn/item/63f8b489319d5b121dd0ecc7/,35,Orange,Avec kilométrage,Manuelle,2022,1.2L,Kia,Picanto,5,Compacte,Essence,48
https://www.tayara.tn/item/63d79a9b1b3fed8fd49bb74a/,65000,Gris,Avec kilométrage,Automatique,2020,1.2L,Kia,Picanto,4,Compacte,Essence,43
https://www.tayara.tn/item/63985d5825c79fc72bdfa5da/,160000,Gris,Avec kilométrage,Manuelle,2007,1.9L,Audi,A3,6,Compacte,Diesel,33
https://www.tayara.tn/item/63d900dd1b3fed8fd49bf9fe/,45000,Noir,Avec kilométrage,Manuelle,2021,<1.0L,Renault,Clio,4,Compacte,Essence,43
https://www.tayara.tn/item/63e0e31b322f7af7daaa3876/,95000,Gris,Avec kilométrage,Automatique,2014,1.6L,BMW,Serie 1,7,Compacte,Essence,58
https://www.tayara.tn/item/63f898e5319d5b121dd0e65b/,65000,Marron,Avec kilométrage,Automatique,2021,1.5L,Autres,Autres,9,Compacte,Essence,98
https://www.tayara.tn/item/640f1035ff75361c11d7efeb/,241000,Blanc,Avec kilométrage,Manuelle,2014,1.4L,Peugeot,208,6,Compacte,Diesel,23
https://www.tayara.tn/item/640f0c47ff75361c11d7eec0/,222318,Noir,Avec kilométrage,Manuelle,2014,1.2L,Seat,Ibiza,5,Compacte,Essence,25
https://www.tayara.tn/item/640f09f9ff75361c11d7ee08/,103,Noir,Avec kilométrage,Manuelle,2009,<1.0L,Volkswagen,Polo,4,Compacte,Essence,24
https://www.tayara.tn/item/640f08fbff75361c11d7ed95/,180.000,Rouge,Avec kilométrage,Manuelle,1999,>4.0L,Renault,Clio,4,Compacte,Essence,15
https://www.tayara.tn/item/6408589dff75361c11d6c7ee/,140000,Bleu,Nouveau,Automatique,2019,<1.0L,Volkswagen,Golf 7,6,Compacte,Essence,69
https://www.tayara.tn/item/63fe04958575ab54182d38b4/,145,Noir,Avec kilométrage,Manuelle,2011,1.2L,Audi,A1,5,Compacte,Essence,37
,,,,,,,,,,,,
https://www.tayara.tn/item/63d59c5b1b3fed8fd49b75a8/,95000,Blanc,Nouveau,Manuelle,2017,1.2L,Citroen,DS3,5,Compacte,Essence,39
https://www.tayara.tn/item/63e7de7930c4f61e51338614/,65000,Gris,Nouveau,Manuelle,2020,1.2L,Hyundai,Grand i10,5,Compacte,Essence,37
https://www.tayara.tn/item/640f0646ff75361c11d7eca4/,90000,Noir,Nouveau,Manuelle,2018,<1.0L,Volkswagen,Golf 7,6,Compacte,Essence,83
,,,,,,,,,,,,
https://www.tayara.tn/item/63ee410257924122c28a943b/,150000,Gris,Avec kilométrage,Manuelle,2018,1.2L,Seat,Ibiza,4,Compacte,Essence,39
https://www.tayara.tn/item/63ee392d57924122c28a930d/,80000,Noir,Avec kilométrage,Manuelle,2015,1.2L,mini,One,4,Compacte,Essence,57
https://www.tayara.tn/item/640efcafff75361c11d7e95b/,188200,Bleu,Avec kilométrage,Manuelle,2012,1.6L,Ford,Focus,7,Compacte,Essence,30
,,,,,,,,,,,,
https://www.tayara.tn/item/640ef360ff75361c11d7e599/,240000,Gris,Avec kilométrage,Manuelle,2011,1.2L,Fiat,Grande Punto,5,Compacte,Essence,22
https://www.tayara.tn/item/640ef20cff75361c11d7e535/,135000,Blanc,Avec kilométrage,Manuelle,2012,1.4L,Alfa Romeo,Giulietta,9,Compacte,Essence,45
https://www.tayara.tn/item/640ef145ff75361c11d7e4e1/,197000,Gris,Avec kilométrage,Manuelle,2004,<1.0L,Toyota,Yaris Verso,4,Compacte,Essence,18
https://www.tayara.tn/item/640eeff0ff75361c11d7e465/,63000,Bleu,Avec kilométrage,Automatique,2020,1.3L,Suzuki,Swift,5,Compacte,Essence,24
https://www.tayara.tn/item/640eefd5ff75361c11d7e458/,60000,Blanc,Avec kilométrage,Manuelle,2022,1.4L,Dacia,Dokker,4,Compacte,Diesel,12
https://www.tayara.tn/item/640eeeb4ff75361c11d7e3f9/,63000,Bleu,Avec kilométrage,Automatique,2020,1.4L,Suzuki,Swift,5,Compacte,Essence,23
,,,,,,,,,,,,
https://www.tayara.tn/item/640ee8b6ff75361c11d7e214/,137000,Noir,Avec kilométrage,Automatique,2017,1.6L,BMW,X1,7,Compacte,Essence,95
https://www.tayara.tn/item/640ee894ff75361c11d7e20e/,195000,Bleu,Avec kilométrage,Manuelle,2011,1.2L,Volkswagen,Golf 6,5,Compacte,Essence,44
https://www.tayara.tn/item/63768d64a18fb2e762c37c56/,99000,Blanc,Avec kilométrage,Manuelle,2016,1.2L,Volkswagen,Golf 7,5,Compacte,Essence,69
https://www.tayara.tn/item/637d09323d13a3e56fedf0ab/,150000,Bleu,Avec kilométrage,Manuelle,2013,1.2L,Seat,Leon ST,5,Compacte,Essence,40
https://www.tayara.tn/item/63dbe2861b3fed8fd49c89ba/,98000,Gris,Avec kilométrage,Manuelle,2019,1.2L,Kia,Rio,5,Compacte,Essence,48
https://www.tayara.tn/item/63b05b0a8904729b1d9ea4e7/,131000,Blanc,Avec kilométrage,Manuelle,2014,1.2L,Seat,Leon ST,6,Compacte,Essence,40
https://www.tayara.tn/item/63ea98a657924122c28a43c7/,118000,Blanc,Avec kilométrage,Manuelle,2016,1.2L,Nissan,Micra,5,Compacte,Essence,27
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.tayara.tn/item/640ee17dff75361c11d7df5f/,125000,Rouge,Avec kilométrage,Manuelle,2017,1.2L,Renault,Clio,4,Compacte,Essence,35
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.tayara.tn/item/640ed9d2ff75361c11d7dd16/,90000,Rouge,Nouveau,Manuelle,2019,1.2L,Hyundai,I 10,5,Compacte,Essence,31
https://www.tayara.tn/item/640ed97bff75361c11d7dcfd/,0,Blanc,Nouveau,Automatique,2014,1.8L,Mercedes-Benz,Classe CLA,8,Compacte,Essence,86
https://www.tayara.tn/item/640ed7deff75361c11d7dca5/,96000,Noir,RS,Manuelle,2017,1.4L,Opel,Corsa,5,Compacte,Essence,31
https://www.tayara.tn/item/640ed6cdff75361c11d7dc61/,131500,Noir,Avec kilométrage,Manuelle,2017,1.2L,Citroen,C-Elysée,5,Compacte,Essence,24
https://www.tayara.tn/item/63c7b6fe2109087dfe7721e5/,59000,Noir,Avec kilométrage,Automatique,2019,1.5L,Mercedes-Benz,Classe A,6,Compacte,Diesel,137
https://www.tayara.tn/item/640ed503ff75361c11d7dc16/,119000,Blanc,Nouveau,Automatique,2018,1.7L,Kia,Sportage,7,Compacte,Diesel,107
https://www.tayara.tn/item/63b873d7a5f9daa1f174b323/,124000,Noir,Nouveau,Manuelle,2020,1.6L,Seat,Ibiza,6,Compacte,Essence,58
https://www.tayara.tn/item/640ed268ff75361c11d7dba5/,114000,Noir,Nouveau,Automatique,2017,1.6L,Audi,A3,5,Compacte,Diesel,78
,,,,,,,,,,,,
https://www.tayara.tn/item/63e4ada5322f7af7daaacc37/,63000,Beige,Nouveau,Manuelle,2020,1.2L,Kia,Picanto,5,Compacte,Essence,63000
https://www.tayara.tn/item/63fdb40f07b6d5262f83d3b2/,134000,Blanc,Nouveau,Manuelle,2018,1.2L,Hyundai,Grand i10,5,Compacte,Essence,37
https://www.tayara.tn/item/632ecf3784d19aaeca5cc4ee/,33000,Noir,Nouveau,Manuelle,2019,1.2L,Volkswagen,Golf Plus,6,Compacte,Essence,75
https://www.tayara.tn/item/63fdb3a98575ab54182d2bdd/,73000,Gris,Nouveau,Automatique,2019,1.2L,Suzuki,Swift,5,Compacte,Essence,39
https://www.tayara.tn/item/6409916eff75361c11d6fd8a/,83000,Bleu,Nouveau,Manuelle,2019,1.2L,Hyundai,Grand i10,5,Compacte,Essence,35
https://www.tayara.tn/item/63d7b35e1b3fed8fd49bc07e/,133000,Blanc,Avec kilométrage,Manuelle,2016,1.9L,Nissan,Qashqai,7,Compacte,Essence,64
https://www.tayara.tn/item/63b5b54c8904729b1d9f8e5d/,27000,Bleu,Avec kilométrage,Automatique,2021,1.2L,Renault,Kadjar,7,Compacte,Essence,87
https://www.tayara.tn/item/63b80beea5f9daa1f17497b9/,47000,Blanc,Avec kilométrage,Manuelle,2017,1.2L,Peugeot,2008,5,Compacte,Essence,53
https://www.tayara.tn/item/640b91bbff75361c11d7674d/,63000,Noir,Avec kilométrage,Manuelle,2019,1.2L,Kia,Rio,5,Compacte,Essence,44
https://www.tayara.tn/item/63a475f025c79fc72be17e84/,165000,Gris,Avec kilométrage,Manuelle,2017,1.5L,Mercedes-Benz,Classe A,5,Compacte,Diesel,78
https://www.tayara.tn/item/640c478aff75361c11d77859/,60000,Blanc,Avec kilométrage,Automatique,2019,1.6L,Mercedes-Benz,Classe A,6,Compacte,Essence,139
https://www.tayara.tn/item/640eb570ff75361c11d7d946/,29000,Gris,Nouveau,Manuelle,2021,<1.0L,Kia,Picanto,2021,Compacte,Essence,39
https://www.tayara.tn/item/640eb3edff75361c11d7d938/,70000,Blanc,Avec kilométrage,Manuelle,2019,1.2L,Peugeot,208,4,Compacte,Essence,33
,,,,,,,,,,,,
https://www.tayara.tn/item/640e642eff75361c11d7d66e/,260,Noir,Avec kilométrage,Manuelle,2008,1.2L,Renault,Clio,4,Compacte,Essence,22
https://www.tayara.tn/item/640e62ebff75361c11d7d656/,105000,Bleu,Avec kilométrage,Manuelle,2017,1.2L,Suzuki,Celerio,4,Compacte,Essence,27
https://www.tayara.tn/item/640e520cff75361c11d7d4aa/,125000,Noir,Nouveau,Manuelle,2017,1.2L,Volkswagen,Golf,5,Compacte,Essence,56
https://www.tayara.tn/item/640e4912ff75361c11d7d2de/,320000,Gris,Nouveau,Manuelle,2000,1.2L,Fiat,Palio,5,Compacte,Essence,11
https://www.tayara.tn/item/640e4134ff75361c11d7d152/,36500,Noir,Avec kilométrage,Manuelle,2017,1.6L,Mercedes-Benz,Classe A,6,Compacte,Essence,90
https://www.tayara.tn/item/640e3406ff75361c11d7ce3c/,34000,Gris,Nouveau,Manuelle,2020,1.2L,Peugeot,208,4,Compacte,Essence,35
https://www.tayara.tn/item/640e324eff75361c11d7ce1b/,200000,Gris,Nouveau,Manuelle,2000,1.9L,Citroen,Berlingo,7,Compacte,Diesel,15
https://www.tayara.tn/item/640e30afff75361c11d7cdff/,190,Noir,Avec kilométrage,Manuelle,2015,1.1L,Fiat,Panda,4,Compacte,Essence,28
https://www.tayara.tn/item/640e2a88ff75361c11d7ccf9/,120000,Blanc,Avec kilométrage,Manuelle,2012,1.6L,BMW,Serie 1,7,Compacte,Essence,45
https://www.tayara.tn/item/640e2731ff75361c11d7cc36/,138.000,Argent,Avec kilométrage,Manuelle,2016,3.0L,Fiat,Grande Punto,4,Compacte,Essence,27
https://www.tayara.tn/item/640e252bff75361c11d7cbcc/,200,Blanc,Avec kilométrage,Manuelle,2011,1.2L,Volkswagen,Polo,4,Compacte,Essence,26
https://www.tayara.tn/item/640e23e7ff75361c11d7cb88/,200000,Gris,Avec kilométrage,Manuelle,206,1.1L,Peugeot,206+,5,Compacte,Essence,16
https://www.tayara.tn/item/640e2167ff75361c11d7caef/,95000,Gris,Avec kilométrage,Manuelle,2018,1.5L,Mazda,2,6,Compacte,Essence,41
https://www.tayara.tn/item/640e1e30ff75361c11d7ca29/,190000,Noir,Nouveau,Manuelle,2010,1.6L,Audi,A3,5,Compacte,Diesel,43
https://www.tayara.tn/item/640e1a47ff75361c11d7c978/,197000,Noir,Avec kilométrage,Manuelle,2010,1.2L,Volkswagen,Polo,5,Compacte,Essence,23
https://www.tayara.tn/item/640e165cff75361c11d7c8c9/,172000,Gris,Nouveau,Manuelle,2013,1.2L,Peugeot,208,5,Compacte,Essence,29
https://www.tayara.tn/item/640e1294ff75361c11d7c7ea/,167000,Noir,Avec kilométrage,Manuelle,2018,1.2L,Seat,Leon,6,Compacte,Essence,60
https://www.tayara.tn/item/640e124fff75361c11d7c7de/,90000,Gris,Avec kilométrage,Manuelle,2018,1.5L,Mazda,3,6,Compacte,Essence,48
https://www.tayara.tn/item/640e0ef4ff75361c11d7c74b/,170000,Bleu,Avec kilométrage,Manuelle,2017,1.2L,Kia,Picanto,4,Compacte,Essence,28
https://www.tayara.tn/item/640e0a8fff75361c11d7c65a/,27000,Marron,Avec kilométrage,Manuelle,2020,<1.0L,Chery,QQ,4,Compacte,Essence,24
,,,,,,,,,,,,
https://www.tayara.tn/item/640e027eff75361c11d7c4ae/,177,Blanc,Avec kilométrage,Manuelle,2018,1.5L,Peugeot,Partner,5,Compacte,Diesel,41
https://www.tayara.tn/item/640dfb5cff75361c11d7c2d4/,208000,Noir,Avec kilométrage,Manuelle,2010,1.2L,Audi,A3,6,Compacte,Essence,43
,,,,,,,,,,,,
https://www.tayara.tn/item/63e2461c322f7af7daaa7bdf/,235,Noir,Avec kilométrage,Manuelle,2010,1.8L,BMW,Compact,7,Compacte,Essence,39
https://www.tayara.tn/item/640b8cc3ff75361c11d76690/,152000,Beige,Avec kilométrage,Manuelle,2010,1.2L,Renault,Megane,7,Compacte,Essence,27
https://www.tayara.tn/item/640b8e08ff75361c11d766cb/,4000,Noir,Nouveau,Automatique,2022,1.2L,Kia,Picanto,5,Compacte,Essence,52
,,,,,,,,,,,,
https://www.tayara.tn/item/63f0a2e057924122c28ac5ff/,103000,Noir,Avec kilométrage,Manuelle,2019,1.2L,Kia,Rio,5,Compacte,Essence,50
https://www.tayara.tn/item/640dee0eff75361c11d7bf8a/,300000,Rouge,Avec kilométrage,Manuelle,2001,<1.0L,Citroen,Saxo,4,Compacte,Essence,12
https://www.tayara.tn/item/63ea5dd357924122c28a3ce6/,66000,Gris,Avec kilométrage,Manuelle,2021,1.3L,Fiat,Tipo,5,Compacte,Essence,66
https://www.tayara.tn/item/640de95aff75361c11d7bea2/,130000,Blanc,Avec kilométrage,Manuelle,2015,1.4L,Fiat,Punto,4,Compacte,Essence,27
https://www.tayara.tn/item/640de4a0ff75361c11d7bdb8/,300,Gris,Avec kilométrage,Manuelle,1995,1.2L,Volkswagen,Polo,4,Compacte,Essence,12
https://www.tayara.tn/item/640ddd8dff75361c11d7bc24/,200,Bleu,Nouveau,Manuelle,1998,1.4L,Peugeot,106,4,Compacte,Essence,10
https://www.tayara.tn/item/640ddd88ff75361c11d7bc22/,124000,Gris,Avec kilométrage,Manuelle,2016,1.2L,Renault,Clio,5,Compacte,Essence,37
https://www.tayara.tn/item/640ddd62ff75361c11d7bc16/,159,Bleu,Nouveau,Manuelle,2013,1.2L,Seat,Leon,5,Compacte,Essence,40
https://www.tayara.tn/item/640ddb4cff75361c11d7bba4/,187000,Gris,Avec kilométrage,Manuelle,2011,1.2L,Volkswagen,Polo,4,Compacte,Essence,29
https://www.tayara.tn/item/640dd41cff75361c11d7b9e7/,77000,Noir,Nouveau,Manuelle,2018,1.2L,Hyundai,I 10,5,Compacte,Essence,34
https://www.tayara.tn/item/640dd35eff75361c11d7b9b2/,250,Noir,Nouveau,Manuelle,2007,1.4L,Peugeot,307,6,Compacte,Essence,20
https://www.tayara.tn/item/640dcf91ff75361c11d7b8bf/,92000,Noir,Avec kilométrage,Manuelle,2016,1.2L,Peugeot,208,5,Compacte,Essence,36
https://www.tayara.tn/item/640dce41ff75361c11d7b871/,92000,Noir,Avec kilométrage,Manuelle,2016,1.2L,Peugeot,208,5,Compacte,Essence,36
https://www.tayara.tn/item/640dccf1ff75361c11d7b82d/,230000,Autre,Nouveau,Automatique,2011,1.6L,Audi,A3,5,Compacte,Diesel,230000
https://www.tayara.tn/item/640dcba8ff75361c11d7b7de/,57000,Blanc,Avec kilométrage,Manuelle,2017,1.2L,Peugeot,208,5,Compacte,Essence,39
https://www.tayara.tn/item/640dcb32ff75361c11d7b7c0/,300000,Gris,Avec kilométrage,Automatique,2003,>4.0L,Toyota,Yaris Verso,5,Compacte,Essence,12
https://www.tayara.tn/item/640dc74eff75361c11d7b70c/,85000,Blanc,Avec kilométrage,Automatique,2019,1.2L,Autres,Autres,7,Compacte,Essence,65
https://www.tayara.tn/item/640dc727ff75361c11d7b700/,155000,Blanc,Avec kilométrage,Manuelle,2013,1.4L,Volkswagen,Polo,5,Compacte,Essence,32
,,,,,,,,,,,,
https://www.tayara.tn/item/640dc67fff75361c11d7b6cb/,89500,Blanc,Avec kilométrage,Manuelle,2016,<1.0L,Ford,Fiesta,5,Compacte,Essence,89500
https://www.tayara.tn/item/640dc622ff75361c11d7b6b5/,208000,Beige,Avec kilométrage,Manuelle,2000,<1.0L,Fiat,Palio,4,Compacte,Essence,12
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.tayara.tn/item/640dbbc1ff75361c11d7b438/,170000,Noir,Avec kilométrage,Manuelle,2012,1.2L,Renault,Clio,5,Compacte,Essence,30
https://www.tayara.tn/item/640db87dff75361c11d7b353/,165000,Gris,Nouveau,Manuelle,2013,1.2L,Peugeot,208,5,Compacte,Essence,28
https://www.tayara.tn/item/640db777ff75361c11d7b317/,226000,Bleu,Avec kilométrage,Manuelle,2009,1.2L,Fiat,Punto,5,Compacte,Essence,17
https://www.tayara.tn/item/640db4a6ff75361c11d7b25c/,85000,Gris,Avec kilométrage,Manuelle,2017,1.2L,Fiat,Panda,4,Compacte,Essence,31
https://www.tayara.tn/item/640db074ff75361c11d7b130/,80000,Blanc,RS,Manuelle,2017,1.4L,Opel,Insignia,6,Compacte,Essence,50
https://www.tayara.tn/item/640daf1aff75361c11d7b0f8/,270000,Rouge,Avec kilométrage,Automatique,2001,1.6L,Citroen,Saxo,4,Compacte,Essence,11
https://www.tayara.tn/item/640da9c9ff75361c11d7afcd/,250000,Blanc,Avec kilométrage,Manuelle,1999,1.2L,Opel,Corsa,3,Compacte,Essence,11
,,,,,,,,,,,,
https://www.tayara.tn/item/640c7e8dff75361c11d787a0/,75000,Blanc,Avec kilométrage,Automatique,2018,1.3L,Suzuki,Baleno,7,Compacte,Essence,40
https://www.tayara.tn/item/640da625ff75361c11d7af25/,99,Gris,Nouveau,Manuelle,2018,1.2L,Peugeot,301,5,Compacte,Essence,26
https://www.tayara.tn/item/640da608ff75361c11d7af21/,0,Marron,Avec kilométrage,Manuelle,2015,1.2L,Peugeot,308,5,Compacte,Essence,31
https://www.tayara.tn/item/640da055ff75361c11d7ae28/,116000,Blanc,Avec kilométrage,Manuelle,2018,1.2L,Citroen,C35,5,Compacte,Essence,39
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.tayara.tn/item/640d985dff75361c11d7aca5/,115000,Blanc,Nouveau,Manuelle,2013,1.2L,Fiat,500,4,Compacte,Essence,33
https://www.tayara.tn/item/640d9820ff75361c11d7ac99/,8400,Blanc,Avec kilométrage,Manuelle,2022,1.2L,Hyundai,I 20,5,Compacte,Essence,60
https://www.tayara.tn/item/640d97a3ff75361c11d7ac85/,94000,Blanc,Avec kilométrage,Manuelle,2017,1.2L,Ford,Fiesta,5,Compacte,Essence,31
https://www.tayara.tn/item/640d9683ff75361c11d7ac4c/,119000,Gris,Nouveau,Manuelle,2018,1.4L,Hyundai,I 10,5,Compacte,Essence,31
,,,,,,,,,,,,
https://www.tayara.tn/item/6404bf2c07b6d5262f84718f/,114000,Blanc,Avec kilométrage,Manuelle,2017,1.2L,Volkswagen,Golf 7,5,Compacte,Essence,59
